provinces,x,y
ADANA,0.0 ,117.0
ADIYAMAN,168.0,90.0
AFYONKARAHİSAR,-297.0 ,-9.0
AĞRI,464.0 ,69.0
AMASYA,28.0,139.0
ANKARA,-169.0 ,91.0
ANTALYA,-269.0 ,-141.0
ARTVİN,388.0 ,186.0
AYDIN,-469.0 ,-76.0
BALIKESİR,-458.0 ,75.0
BİLECİK,-316.0 ,96.0
BİNGÖL,322.0 ,16.0
BİTLİS,414.0 ,-24.0
BOLU,-214.0 ,131.0
BURDUR,-324.0 ,-107.0
BURSA,-386.0 ,101.0
ÇANAKKALE,-517.0 ,108.0
ÇANKIRI,-98.0 ,132.0
ÇORUM,-33.0 ,124.0
DENİZLİ,-380.0 ,-80.0
DİYARBAKIR,306.0 ,-55.0
EDİRNE,-521.0,188.0
ELAZIĞ,240.0 ,-21.0
ERZİNCAN,242.0 ,66.0
ERZURUM,364.0 ,101.0
ESKİŞEHİR,-258.0 ,59.0
GAZİANTEP,114.0 ,-144.0
GİRESUN,183.0 ,140.0
GÜMÜŞHANE,231.0 ,117.0
HAKKARİ,540.0 ,-91.0
HATAY,46.0 ,-206.0
ISPARTA,-276.0 ,-74.0
MERSİN,-86.0 ,-184.0
İSTANBUL,-389.0 ,191.0
İZMİR,-513.0 ,-32.0
KARS,457.0 ,131.0
KASTAMONU,-91.0 ,202.0
KAYSERİ,31.0,-22.0
KIRKLARELİ,-459.0 ,237.0
KIRŞEHİR,-61.0 ,29.0
KOCAELİ ,-318.0 ,-154.0
KONYA,-178.0 ,-73.0
KÜTAHYA,-352.0 ,36.0
MALATYA,151.0 ,-29.0
MANİSA,-441.0 ,-2.0
KAHRAMANMARAŞ,91.0 ,-74.0
MARDİN,329.0 ,-115.0
MUĞLA ,-449.0 ,-117.0
MUŞ,383.0 ,20.0
NEVŞEHİR,-37.0,-15.0
NİĞDE,-34.0 ,-75.0
ORDU,122.0 ,150.0
RİZE,315.0 ,162.0
SAKARYA,-292.0 ,151.0
SAMSUN,38.0 ,174.0
SİİRT,410.0 ,-66.0
SİNOP,-17.0 ,214.0
SİVAS,110.0,53.0
TEKİRDAĞ,-469.0 ,192.0
TOKAT,70.0 ,120.0
TRABZON,264.0 ,155.0
TUNCELİ,247.0 ,23.0
ŞANLIURFA,222.0 ,-134.0
UŞAK,-370.0 ,-12.0
VAN,508.0 ,-13.0
YOZGAT,-10.0 ,67.0
ZONGULDAK,-208.0,193.0
AKSARAY,-83.0,-36.0
BAYBURT,285.0,103.0
KARAMAN,-129.0 ,-138.0
KIRIKKALE,-94.0 ,68.0
BATMAN,367.0 ,-76.0
ŞIRNAK,435.0 ,-105.0
BARTIN,-159.0 ,218.0
ARDAHAN,450.0 ,183.0
IĞDIR,514.0 ,99.0
YALOVA,-374.0 ,146.0
KARABÜK ,-157.0 ,174.0
KİLİS,95.0 ,-167.0
OSMANİYE,49.0 ,-133.0
DÜZCE,-241.0,157.0
